Subject: #705
Paradigm: test
Start Test Program
00770: 0
10770: 0
113: 658445
00771: 658445
02771: 658446
02770: 658546
00770: 658561
20770: 667068
10771: 677729
12771: 677729
10770: 677767
10771: 677824
12771: 677824
10770: 677878
10771: 677901
12771: 677902
10770: 677966
12770: 678002
10771: 678081
12771: 678082
12770: 678182
10770: 679131
10771: 681787
12771: 681787
12770: 681887
10770: 681900
10771: 684100
12771: 684100
10770: 684185
12770: 684200
10771: 684341
12771: 684341
12770: 684441
10770: 684561
10771: 685351
12771: 685351
10770: 685424
12770: 685451
10771: 686070
12771: 686071
10770: 686096
10771: 686140
12771: 686141
10770: 686181
12770: 686241
10771: 686308
12771: 686308
10770: 686382
12770: 686408
10771: 686449
12771: 686450
10770: 686479
12770: 686550
10771: 686560
12771: 686560
10770: 686590
12770: 686660
10771: 687452
12771: 687452
10770: 687493
10771: 687519
12771: 687519
12770: 687619
10770: 688017
10771: 688384
12771: 688385
10770: 688410
10771: 688429
12771: 688429
12770: 688529
10770: 688881
10771: 688921
12771: 688921
10770: 688961
12770: 689021
10771: 689252
12771: 689252
12770: 689352
10770: 692665
10771: 693095
12771: 693096
12770: 693196
10770: 696763
10771: 697164
12771: 697164
12770: 697264
10770: 698549
20771: 1053042
22771: 1053043
22770: 1053143
20770: 1054002
20771: 1054051
22771: 1054051
20770: 1054074
22770: 1054151
00771: 1412288
02771: 1412288
02770: 1412388
00770: 1413628
00771: 3593730
02771: 3593731
00770: 3593777
02770: 3593831
00771: 3594015
02771: 3594016
02770: 3594116
00770: 3594308
20771: 3694340
22771: 3694340
22770: 3694440
20770: 3695592
20771: 3696943
22771: 3696943
22770: 3697043
20770: 3697310
20771: 3726994
22771: 3726994
20770: 3726996
20771: 3727063
22771: 3727063
22770: 3727163
20770: 3729260
20771: 3729267
22771: 3729267
20770: 3729276
20771: 3729280
22771: 3729280
22770: 3729380
20770: 3730325
20771: 3732882
22771: 3732882
22770: 3732982
20770: 3733113
10771: 3845937
12771: 3845937
10770: 3846004
12770: 3846037
10771: 3846045
12771: 3846045
12770: 3846145
10770: 3847174
00771: 4114286
02771: 4114287
00770: 4114312
00771: 4114361
02771: 4114361
02770: 4114461
00770: 4114693
00771: 4114713
02771: 4114713
00770: 4114780
02770: 4114813
00771: 7518393
02771: 7518394
00770: 7518443
02770: 7518494
10771: 7606924
12771: 7606925
12770: 7607025
10770: 7607811
00771: 7765468
02771: 7765468
02770: 7765568
00770: 7766025
00771: 7766041
02771: 7766041
00770: 7766080
02770: 7766141
00771: 7769243
02771: 7769244
00770: 7769274
02770: 7769344
00771: 7769474
02771: 7769475
00770: 7769489
00771: 7769505
02771: 7769505
00770: 7769519
02770: 7769605
00771: 7769732
02771: 7769732
02770: 7769832
00770: 7770396
00771: 7770432
02771: 7770432
00770: 7770499
02770: 7770532
00771: 7770570
02771: 7770570
02770: 7770670
00770: 7770671
00771: 7770900
02771: 7770901
02770: 7771001
00770: 7771401
00771: 7771855
02771: 7771855
02770: 7771955
00770: 7772146
00771: 7772817
02771: 7772817
02770: 7772917
00770: 7774712
20771: 7797947
22771: 7797947
22770: 7798047
20770: 7798757
00771: 7868999
02771: 7869000
00770: 7869034
00771: 7869052
02771: 7869053
02770: 7869153
00770: 7869484
10771: 7893744
12771: 7893744
12770: 7893844
10770: 7893929
20771: 8506170
22771: 8506170
20770: 8506176
22770: 8506270
20771: 8506278
22771: 8506278
20770: 8506280
22770: 8506378
20771: 8536400
22771: 8536400
20770: 8536424
22770: 8536500
10771: 8566483
12771: 8566484
12770: 8566584
10770: 8567115
10771: 8567327
12771: 8567327
12770: 8567427
10770: 8567887
10771: 8568675
12771: 8568676
12770: 8568776
10770: 8570214
10771: 8570645
12771: 8570645
10770: 8570687
10771: 8570731
12771: 8570731
10770: 8570779
12770: 8570831
10771: 8571069
12771: 8571069
12770: 8571169
10770: 8572517
10771: 8573111
12771: 8573112
12770: 8573212
10770: 8575337
10771: 8579899
12771: 8579899
12770: 8579999
10770: 8580204
00771: 10560736
02771: 10560736
00770: 10560778
00771: 10560804
02771: 10560805
00770: 10560901
02770: 10560905
00771: 10560930
02771: 10560930
02770: 10561030
00770: 10561486
00771: 10562849
02771: 10562849
00770: 10562877
00771: 10562918
02771: 10562919
02770: 10563019
00770: 10563060
00771: 10563102
02771: 10563103
00770: 10563142
02770: 10563203
00771: 10563444
02771: 10563445
02770: 10563545
00770: 10563564
10771: 10569255
12771: 10569255
12770: 10569355
10770: 10569847
10771: 10570611
12771: 10570611
12770: 10570711
10770: 10571037
10771: 10571627
12771: 10571628
12770: 10571728
10770: 10573443
00771: 10578679
02771: 10578679
00770: 10578708
02770: 10578779
00771: 10578825
02771: 10578826
02770: 10578926
00770: 10580605
00771: 10589971
02771: 10589971
00770: 10590004
02770: 10590071
10771: 10591416
12771: 10591416
12770: 10591516
10770: 10591532
20771: 10593166
22771: 10593166
20770: 10593225
20771: 10593263
22771: 10593263
20770: 10593362
22770: 10593363
20771: 10594727
22771: 10594728
22770: 10594828
20770: 10596802
20771: 10598192
22771: 10598193
20770: 10598270
22770: 10598293
20771: 10598751
22771: 10598752
22770: 10598852
20770: 10600448
10771: 10760429
12771: 10760429
12770: 10760529
10770: 10760704
10771: 10760774
12771: 10760774
10770: 10760793
12770: 10760875
00771: 10788094
02771: 10788096
02770: 10788196
00770: 10791161
00771: 10792096
02771: 10792096
02770: 10792196
00770: 10792265
00771: 10792316
02771: 10792317
00770: 10792338
02770: 10792417
00771: 10792844
02771: 10792845
02770: 10792945
00770: 10793048
00771: 10793109
02771: 10793110
00770: 10793194
02770: 10793210
00771: 10793289
02771: 10793290
02770: 10793390
00770: 10793651
00771: 10793942
02771: 10793943
02770: 10794043
00770: 10794090
00771: 10794169
02771: 10794169
02770: 10794269
00770: 10795789
00771: 10802209
02771: 10802209
00770: 10802264
02770: 10802309
10771: 10803870
12771: 10803871
12770: 10803971
10770: 10804556
10771: 10805222
12771: 10805222
12770: 10805322
10770: 10807990
10771: 10808432
12771: 10808433
10770: 10808462
10771: 10808473
12771: 10808474
10770: 10808567
12770: 10808574
10771: 10808579
12771: 10808580
12770: 10808680
10770: 10809618
10771: 10810067
12771: 10810067
10770: 10810096
12770: 10810167
10771: 10810298
12771: 10810298
10770: 10810361
12770: 10810398
00771: 13911900
02771: 13911901
02770: 13912001
00770: 13912320
20771: 13997483
22771: 13997483
22770: 13997583
20770: 13998723
20771: 13999885
22771: 13999886
22770: 13999986
20770: 14000718
20771: 14000798
22771: 14000798
22770: 14000898
20770: 14000907
20771: 14001261
22771: 14001262
22770: 14001362
20770: 14001653
20771: 14001854
22771: 14001855
22770: 14001955
20770: 14002314
00771: 14016021
02771: 14016021
00770: 14016066
02770: 14016121
00771: 14016149
02771: 14016149
00770: 14016221
02770: 14016249
00771: 14018555
02771: 14018555
02770: 14018655
00770: 14020253
00771: 14021008
